Suburb,Rooms,Type,Price,Postcode,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,zipcode,airbnb_record_count,airbnb_price_mean,airbnb_price_max
Abbotsford,2,h,1480000.0,3067.0,1.0,202.0,,,-37.7996,144.9984,3067.0,247.0,111.29554655870446,336.0
Abbotsford,2,h,1035000.0,3067.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934,3067.0,247.0,111.29554655870446,336.0
Abbotsford,3,h,1465000.0,3067.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944,3067.0,247.0,111.29554655870446,336.0
Abbotsford,3,h,850000.0,3067.0,1.0,94.0,,,-37.7969,144.9969,3067.0,247.0,111.29554655870446,336.0
Abbotsford,4,h,1600000.0,3067.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,3067.0,247.0,111.29554655870446,336.0
Abbotsford,2,h,941000.0,3067.0,0.0,181.0,,,-37.8041,144.9953,3067.0,247.0,111.29554655870446,336.0
Abbotsford,3,h,1876000.0,3067.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993,3067.0,247.0,111.29554655870446,336.0
Abbotsford,2,h,1636000.0,3067.0,2.0,256.0,107.0,1890.0,-37.806,144.9954,3067.0,247.0,111.29554655870446,336.0
Abbotsford,2,h,1097000.0,3067.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,3067.0,247.0,111.29554655870446,336.0
Abbotsford,2,u,700000.0,3067.0,1.0,0.0,,,-37.811,145.0067,3067.0,247.0,111.29554655870446,336.0
Abbotsford,3,h,1350000.0,3067.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964,3067.0,247.0,111.29554655870446,336.0
Abbotsford,2,u,750000.0,3067.0,1.0,0.0,94.0,2009.0,-37.8078,144.9965,3067.0,247.0,111.29554655870446,336.0
Abbotsford,2,h,1172500.0,3067.0,1.0,195.0,,,-37.8084,144.9973,3067.0,247.0,111.29554655870446,336.0
Abbotsford,1,u,441000.0,3067.0,1.0,0.0,,,-37.8016,144.9988,3067.0,247.0,111.29554655870446,336.0
Abbotsford,2,h,1310000.0,3067.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,3067.0,247.0,111.29554655870446,336.0
Abbotsford,3,h,1200000.0,3067.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,3067.0,247.0,111.29554655870446,336.0
Abbotsford,3,h,1176500.0,3067.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965,3067.0,247.0,111.29554655870446,336.0
Abbotsford,3,h,955000.0,3067.0,0.0,183.0,,,-37.8022,144.9975,3067.0,247.0,111.29554655870446,336.0
Abbotsford,2,h,890000.0,3067.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004,3067.0,247.0,111.29554655870446,336.0
Abbotsford,4,h,1330000.0,3067.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952,3067.0,247.0,111.29554655870446,336.0
Abbotsford,3,t,900000.0,3067.0,2.0,0.0,,2010.0,-37.8093,144.9959,3067.0,247.0,111.29554655870446,336.0
Abbotsford,3,u,1090000.0,3067.0,2.0,4290.0,27.0,,-37.8078,144.9965,3067.0,247.0,111.29554655870446,336.0
Abbotsford,2,u,500000.0,3067.0,1.0,0.0,60.0,1970.0,-37.8015,144.9972,3067.0,247.0,111.29554655870446,336.0
Abbotsford,2,h,1100000.0,3067.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,3067.0,247.0,111.29554655870446,336.0
Abbotsford,2,h,1315000.0,3067.0,0.0,147.0,85.0,1900.0,-37.808,144.994,3067.0,247.0,111.29554655870446,336.0
Abbotsford,1,u,426000.0,3067.0,1.0,0.0,,,-37.8016,144.9988,3067.0,247.0,111.29554655870446,336.0
Abbotsford,3,h,1447500.0,3067.0,1.0,166.0,174.0,2012.0,-37.8017,145.0001,3067.0,247.0,111.29554655870446,336.0
